Условный проход;Диаметр;Толщина стенки;Вес;Давление;Суффикс
40;50;3;0.456;1;SDR 17
50;63;3.8;0.724;1;SDR 17
65;75;4.5;1.02;1;SDR 17
80;90;5.4;1.48;1;SDR 17
100;110;6.6;2.19;1;SDR 17
100;125;7.4;2.81;1;SDR 17
125;140;8.3;3.52;1;SDR 17
150;160;9.5;4.6;1;SDR 17
150;180;10.7;5.83;1;SDR 17
200;200;11.9;7.18;1;SDR 17
200;225;13.4;9.12;1;SDR 17
250;250;14.8;11.2;1;SDR 17
250;280;16.6;14;1;SDR 17
300;315;18.7;17.8;1;SDR 17
350;355;21.1;22.6;1;SDR 17
400;400;23.7;28.6;1;SDR 17
500;450;26.7;36.3;1;SDR 17
500;500;29.7;44.8;1;SDR 17
600;560;33.2;56.1;1;SDR 17
600;630;37.4;71.2;1;SDR 17
700;710;42.1;90.3;1;SDR 17
800;800;47.4;114.5;1;SDR 17
900;900;53.3;144.7;1;SDR 17
1000;1000;59.3;178.9;1;SDR 17
40;50;3.7;0.456;1.25;SDR 13.6
50;63;4.7;0.724;1.25;SDR 13.6
65;75;5.6;1.02;1.25;SDR 13.6
80;90;6.7;1.48;1.25;SDR 13.6
100;110;8.1;2.19;1.25;SDR 13.6
100;125;9.2;2.81;1.25;SDR 13.6
125;140;10.3;3.52;1.25;SDR 13.6
150;160;11.8;4.6;1.25;SDR 13.6
150;180;13.3;5.83;1.25;SDR 13.6
200;200;14.7;7.18;1.25;SDR 13.6
200;225;16.6;9.12;1.25;SDR 13.6
250;250;18.4;11.2;1.25;SDR 13.6
250;280;20.6;14;1.25;SDR 13.6
300;315;23.2;17.8;1.25;SDR 13.6
350;355;26.1;22.6;1.25;SDR 13.6
400;400;29.4;28.6;1.25;SDR 13.6
500;450;33.1;36.3;1.25;SDR 13.6
500;500;36.8;44.8;1.25;SDR 13.6
600;560;41.2;56.1;1.25;SDR 13.6
600;630;46.3;71.2;1.25;SDR 13.6
700;710;52.2;90.3;1.25;SDR 13.6
800;800;58.8;114.5;1.25;SDR 13.6
