op_DN	op_type	op_l	op_B	op_h	op_S	op_B1	op_F	op_mass	op_P				
57	À1	100	40	100	3	0	0	0.4	3				
76	À2	150	40	100	3	0	0	0.6	3				
89	À2	150	80	100	3	0	0	0.6	3				
108	À1	100	80	150	4	0	0	0.9	15				
133	Á1	100	80	150	4	100	190	1.7	15				
159	À2	250	80	150	4	0	0	2.2	15				
219	Á2	250	80	150	4	100	190	3	15				
273	À1	150	200	200	6	0	0	3.4	40				
325	Á1	150	200	200	6	240	250	7.1	40				
377	À2	300	200	200	6	0	0	6.6	40				
426	Á2	300	200	200	6	240	250	10.3	40				
530	À1	200	200	300	8	0	0	7.4	100				
630	Á1	200	200	300	8	240	400	14	100				
820	À2	350	200	300	8	0	0	12.6	100				
1020	À2	350	200	300	8	0	0	12.6	100				
1020	Á2	350	200	300	8	0	0	19.2	100				
1220	À1	300	200	400	10	0	0	16.2	160				
1220	Á1	300	200	400	10	250	500	27	160				
1420	À2	450	200	400	10	0	0	18.8	160				
1420	Á2	450	200	400	10	250	500	29.7	160				
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
